118 [06/sep/2001:09:42:46 -0300] "bet	/home/joshua:
118 [06/sep/2001:09:41:41 -0300] "bet	a
118 [06/sep/2001:09:42:31 -0300] "bet	allmyfiles
118 [06/sep/2001:09:43:08 -0300] "bet	Archives
118 [06/sep/2001:09:43:39 -0300] "bet	betty
60 [09/sep/2001:12:53:38 -0300] "bet	c1
94 [30/aug/2001:12:08:03 -0300] "bet	c2
94 [30/aug/2001:12:08:03 -0300] "bet	c3
66 [04/sep/2001:01:07:54 -0300] "bet	cl
66 [04/sep/2001:01:08:04 -0300] "bet	daniel
66 [06/sep/2001:21:17:52 -0300] "bet	Desktop
66 [06/sep/2001:21:17:55 -0300] "bet	Docum
66 [06/sep/2001:21:18:41 -0300] "bet	Documents
66 [08/sep/2001:02:24:55 -0300] "bet	Downloads
66 [09/sep/2001:20:48:26 -0300] "bet	el
66 [10/aug/2001:12:54:35 -0300] "bet	exam1
66 [10/aug/2001:12:55:21 -0300] "bet	file2
66 [10/aug/2001:12:55:21 -0300] "bet	file.info1
66 [10/aug/2001:12:55:28 -0300] "bet	file.info2
66 [10/aug/2001:12:55:35 -0300] "bet	filewho
66 [18/aug/2001:19:07:53 -0300] "bet	first_file
66 [19/aug/2001:02:35:10 -0300] "bet	foo
66 [19/aug/2001:02:38:29 -0300] "bet	footer
66 [20/aug/2001:00:36:04 -0300] "bet	footer.1
66 [21/aug/2001:11:17:46 -0300] "bet	footer.2
66 [22/aug/2001:17:24:28 -0300] "bet	greeting
66 [27/aug/2001:01:39:39 -0300] "bet	index.html
66 [27/aug/2001:01:39:40 -0300] "bet	installation.txt
66 [27/aug/2001:01:48:20 -0300] "bet	JoshuaLe-lab2.txt
66 [27/aug/2001:01:49:28 -0300] "bet	journal
66 [27/aug/2001:01:53:00 -0300] "bet	lab1.txt
66 [27/aug/2001:01:53:08 -0300] "bet	lab4.txt
66 [27/aug/2001:01:53:51 -0300] "bet	lab5.txt
66 [27/aug/2001:01:53:54 -0300] "bet	lab6.txt
66 [27/aug/2001:01:54:30 -0300] "bet	lab7.txt
66 [27/aug/2001:01:54:33 -0300] "bet	lost-days
66 [27/aug/2001:01:55:07 -0300] "bet	manywords
66 [27/aug/2001:01:56:53 -0300] "bet	me_A
66 [27/aug/2001:02:02:34 -0300] "bet	megan
66 [27/aug/2001:02:03:16 -0300] "bet	month
66 [27/aug/2001:02:08:57 -0300] "bet	Music
66 [27/aug/2001:02:08:58 -0300] "bet	mydata.txt
66 [27/aug/2001:02:09:05 -0300] "bet	myerr
66 [27/aug/2001:02:09:18 -0300] "bet	myfile1
66 [27/aug/2001:02:09:51 -0300] "bet	myoutput
66 [27/aug/2001:02:09:51 -0300] "bet	mypasswd
66 [27/aug/2001:02:09:56 -0300] "bet	names.tmp
66 [27/aug/2001:02:10:08 -0300] "bet	newfile1A
66 [27/aug/2001:02:10:15 -0300] "bet	newfile2B2
66 [27/aug/2001:02:10:23 -0300] "bet	Papers
66 [27/aug/2001:02:10:31 -0300] "bet	phon
66 [27/aug/2001:02:18:14 -0300] "bet	Pictures
66 [27/aug/2001:02:18:15 -0300] "bet	practice
66 [28/aug/2001:16:02:39 -0300] "bet	Private
66 [28/aug/2001:16:02:40 -0300] "bet	Projects
66 [29/aug/2001:00:34:17 -0300] "bet	Public
61 [02/sep/2001:10:41:23 -0300] "bet	quiz3.txt
61 [04/sep/2001:09:45:06 -0300] "bet	Recommendations
61 [04/sep/2001:23:51:35 -0300] "bet	repos
61 [04/sep/2001:23:52:30 -0300] "bet	respected
61 [04/sep/2001:23:52:32 -0300] "bet	Resumes
61 [05/sep/2001:00:29:14 -0300] "bet	review
61 [06/sep/2001:09:32:49 -0300] "bet	script1
61 [06/sep/2001:09:34:53 -0300] "bet	script.js
61 [06/sep/2001:09:34:54 -0300] "bet	second_file
61 [06/sep/2001:14:15:16 -0300] "bet	short-pass
61 [07/sep/2001:11:10:28 -0300] "bet	Skye
61 [08/aug/2001:21:58:23 -0300] "bet	s-mypasswd
61 [08/aug/2001:21:58:23 -0300] "bet	sortedsp3
61 [08/aug/2001:22:00:28 -0300] "bet	sorted-test-sor
61 [09/sep/2001:13:53:03 -0300] "bet	sort-test
61 [10/sep/2001:09:55:19 -0300] "bet	sp2
61 [10/sep/2001:09:55:33 -0300] "bet	sp3
61 [10/sep/2001:23:47:12 -0300] "bet	style.css
61 [10/sep/2001:23:47:13 -0300] "bet	Templates
61 [11/sep/2001:00:23:15 -0300] "bet	test-file1
61 [11/sep/2001:00:55:07 -0300] "bet	test-file2
61 [11/sep/2001:00:55:38 -0300] "bet	test-g
61 [11/sep/2001:00:55:39 -0300] "bet	test-list
61 [11/sep/2001:00:55:45 -0300] "bet	test-sor
61 [11/sep/2001:00:55:47 -0300] "bet	test.txt
61 [11/sep/2001:01:26:22 -0300] "bet	tmp
61 [16/aug/2001:18:22:43 -0300] "bet	total
61 [16/aug/2001:18:22:43 -0300] "bet	trouble
61 [21/aug/2001:23:57:29 -0300] "bet	users_on
61 [21/aug/2001:23:57:30 -0300] "bet	users_test
61 [21/aug/2001:23:58:03 -0300] "bet	Videos
61 [21/aug/2001:23:58:33 -0300] "bet	wc
61 [27/aug/2001:12:11:35 -0300] "bet	west-coast.names
